HousingPI22_GEOID,HousingPI22_Metro Name,HousingPI22_GEOID.1,HousingPI22_1980,HousingPI22_1981,HousingPI22_1982,HousingPI22_1983,HousingPI22_1984,HousingPI22_1985,HousingPI22_1986,HousingPI22_1987,HousingPI22_1988,HousingPI22_1989,HousingPI22_1990,HousingPI22_1991,HousingPI22_1992,HousingPI22_1993,HousingPI22_1994,HousingPI22_1995,HousingPI22_1996,HousingPI22_1997,HousingPI22_1998,HousingPI22_1999,HousingPI22_2000,HousingPI22_2001,HousingPI22_2002,HousingPI22_2003,HousingPI22_2004,HousingPI22_2005,HousingPI22_2006,HousingPI22_2007,HousingPI22_2008,HousingPI22_2009,HousingPI22_2010,HousingPI22_2011,HousingPI22_2012,HousingPI22_2013,HousingPI22_2014,HousingPI22_2015,HousingPI22_2016,HousingPI22_2017,HousingPI22_2018,HousingPI22_2019,HousingPI22_2020,HousingPI22_2021,HousingPI22_2022
41660,"San Angelo, TX",41660,2.7,2.6,2.7,2.7,2.7,2.7,2.7,2.5,2.3,2.3,2.3,2.2,2.2,2.3,2.2,2.3,2.2,2.2,2.2,2.1,2.1,2.2,2.3,2.3,2.3,2.5,2.6,2.6,2.6,2.8,2.8,2.7,2.6,2.7,2.8,2.9,2.8,2.9,2.9,3.0,2.9,3.1,3.6
41540,"Salisbury, MD-DE",41540,3.4,3.2,3.0,2.8,2.7,2.7,2.8,2.9,3.0,3.1,3.1,3.1,3.2,3.2,3.2,3.1,3.1,3.1,3.0,3.1,3.2,3.5,3.8,4.2,4.8,5.5,5.9,5.9,5.6,5.3,5.0,4.7,4.6,4.5,4.5,4.5,4.5,4.5,4.1,4.0,4.0,4.3,4.9
42200,"Santa Maria-Santa Barbara, CA",42200,7.1,7.0,6.8,6.4,5.9,5.7,6.0,6.2,7.1,7.8,6.4,6.2,6.3,6.0,6.2,5.9,5.7,6.2,5.8,6.3,6.7,7.1,8.3,9.4,11.7,12.7,12.7,13.0,7.4,6.3,7.5,6.5,7.6,9.8,10.7,10.9,10.3,9.8,9.0,8.7,10.1,12.1,11.7
41100,"St. George, UT",41100,4.0,4.3,4.3,4.2,3.8,3.6,3.6,3.4,3.2,3.0,3.1,3.1,3.1,3.2,3.4,3.6,3.7,3.7,3.8,3.7,3.7,4.0,4.2,4.2,4.6,5.8,7.0,6.9,6.2,5.6,5.2,4.8,4.5,4.5,4.4,4.5,4.7,5.2,5.6,5.6,5.8,7.9,9.9
42340,"Savannah, GA",42340,3.2,3.2,3.1,3.0,3.0,2.9,2.9,2.9,2.9,2.7,2.6,2.6,2.7,2.7,2.7,2.7,2.7,2.7,2.7,2.7,2.8,2.9,3.2,3.3,3.5,3.9,4.1,4.3,4.2,4.1,3.9,3.6,3.4,3.4,3.4,3.4,3.5,3.5,3.6,3.7,3.7,4.0,5.0
42100,"Santa Cruz-Watsonville, CA",42100,6.8,6.8,6.5,6.2,5.7,5.5,5.7,5.6,6.2,6.6,6.4,6.0,5.8,5.7,5.5,5.4,5.3,5.6,6.1,6.5,7.8,8.5,9.1,9.6,10.8,12.3,11.5,11.1,8.6,7.3,8.2,7.2,7.6,8.8,10.0,10.3,10.6,10.4,10.6,10.1,10.9,12.7,13.3
41620,"Salt Lake City, UT",41620,3.1,3.1,3.0,2.9,2.9,2.8,2.8,2.6,2.4,2.3,2.2,2.2,2.2,2.4,2.6,2.8,2.9,2.9,2.9,2.9,2.8,2.9,3.0,3.0,3.1,3.3,3.8,4.0,3.9,3.7,3.6,3.2,3.4,3.8,3.8,3.9,4.0,4.2,4.4,4.6,4.9,5.9,6.8
41700,"San Antonio-New Braunfels, TX",41700,3.4,3.3,3.3,3.3,3.3,3.1,3.2,3.0,2.6,2.5,2.4,2.3,2.4,2.6,2.5,2.5,2.5,2.5,2.4,2.3,2.4,2.5,2.7,2.9,2.9,3.1,3.2,3.3,3.2,3.1,3.1,3.0,3.1,3.3,3.4,3.6,3.7,3.8,3.9,3.9,4.0,4.4,4.9
42660,"Seattle-Tacoma-Bellevue, WA",42660,2.7,2.7,2.6,2.6,2.6,2.6,2.5,2.5,2.5,2.8,3.4,3.3,3.4,3.4,3.5,3.5,3.4,3.4,3.5,3.7,3.8,4.2,4.4,4.5,5.1,5.6,6.0,6.1,5.5,4.9,4.8,4.4,4.5,5.0,4.9,5.0,5.2,5.6,5.7,5.7,6.1,6.8,7.3
42700,"Sebring, FL",42700,4.1,4.0,4.1,3.9,3.6,3.4,3.4,3.3,3.2,3.2,3.1,3.0,2.9,2.9,2.8,2.7,2.7,2.7,2.7,2.7,2.7,2.9,3.1,3.3,3.9,4.8,5.5,5.4,4.5,3.8,3.2,2.8,2.7,2.6,2.7,2.9,3.1,3.2,3.3,3.2,3.2,3.8,4.7
