Crosswalk2023_CBSA Code,Labor_Force_2015,Labor_Force_2016,Labor_Force_2017,Labor_Force_2018,Labor_Force_2019,Labor_Force_2020,Labor_Force_2021,Labor_Force_2022,Labor_Force_2023,Labor_Force_2024,Employed_2015,Employed_2016,Employed_2017,Employed_2018,Employed_2019,Employed_2020,Employed_2021,Employed_2022,Employed_2023,Employed_2024,Unemployed_2015,Unemployed_2016,Unemployed_2017,Unemployed_2018,Unemployed_2019,Unemployed_2020,Unemployed_2021,Unemployed_2022,Unemployed_2023,Unemployed_2024
31980.0,32543.0,31078.0,30757.0,31124.0,30794.0,30514,30111.0,30232.0,29840.0,30396.0,30784.0,29510.0,29519.0,29887.0,29607.0,28455,28831.0,29183.0,28721.0,28949.0,1759.0,1568.0,1238.0,1237.0,1187.0,2059,1280.0,1049.0,1119.0,1447.0
32000.0,20993.0,19519.0,19475.0,19582.0,19511.0,18748,18734.0,19191.0,19209.0,19054.0,19850.0,18534.0,18642.0,18872.0,18736.0,17380,17831.0,18492.0,18562.0,18287.0,1143.0,985.0,833.0,710.0,775.0,1368,903.0,699.0,647.0,767.0
32020.0,27883.0,27544.0,27822.0,28146.0,28280.0,27852,27407.0,26955.0,26764.0,26924.0,26438.0,26130.0,26416.0,26895.0,27123.0,25711,26055.0,25765.0,25803.0,25747.0,1445.0,1414.0,1406.0,1251.0,1157.0,2141,1352.0,1190.0,961.0,1177.0
32060.0,32001.0,31863.0,31606.0,31990.0,32007.0,30986,31046.0,30725.0,30871.0,31414.0,30035.0,29893.0,29971.0,30331.0,30656.0,28326,29288.0,29353.0,29485.0,29996.0,1966.0,1970.0,1635.0,1659.0,1351.0,2660,1758.0,1372.0,1386.0,1418.0
32100.0,33546.0,33214.0,32502.0,32202.0,32227.0,32198,31052.0,31787.0,32913.0,33400.0,31535.0,31308.0,30691.0,30599.0,30623.0,29458,29456.0,30217.0,31348.0,31677.0,2011.0,1906.0,1811.0,1603.0,1604.0,2740,1596.0,1570.0,1565.0,1723.0
32140.0,15370.0,14386.0,14173.0,13933.0,13757.0,13839,13353.0,13386.0,13352.0,13559.0,14866.0,13848.0,13698.0,13502.0,13287.0,13187,12940.0,13056.0,12994.0,13177.0,504.0,538.0,475.0,431.0,470.0,652,413.0,330.0,358.0,382.0
32180.0,10963.0,11763.0,11739.0,11746.0,11636.0,11538,11289.0,11181.0,11490.0,11609.0,10424.0,11241.0,11338.0,11397.0,11288.0,11043,10931.0,10912.0,11168.0,11226.0,539.0,522.0,401.0,349.0,348.0,495,358.0,269.0,322.0,383.0
32260.0,19481.0,21444.0,20377.0,20253.0,20201.0,19408,19224.0,19253.0,19310.0,19498.0,18500.0,20510.0,19546.0,19435.0,19408.0,18199,18209.0,18318.0,18212.0,18378.0,981.0,934.0,831.0,818.0,793.0,1209,1015.0,935.0,1098.0,1120.0
32280.0,15646.0,14847.0,14702.0,14880.0,15025.0,14428,14387.0,14229.0,13998.0,13895.0,14597.0,13915.0,13930.0,14208.0,14385.0,13543,13774.0,13706.0,13472.0,13274.0,1049.0,932.0,772.0,672.0,640.0,885,613.0,523.0,526.0,621.0
32300.0,27774.0,26974.0,27190.0,27066.0,27098.0,27194,26944.0,27367.0,27780.0,27663.0,25902.0,25382.0,25759.0,25927.0,26085.0,24677,25452.0,26359.0,26745.0,26531.0,1872.0,1592.0,1431.0,1139.0,1013.0,2517,1492.0,1008.0,1035.0,1132.0
32340.0,10924.0,11888.0,11707.0,11687.0,11780.0,11709,11641.0,11899.0,12294.0,12225.0,10377.0,11425.0,11356.0,11401.0,11496.0,11243,11356.0,11678.0,12012.0,11880.0,547.0,463.0,351.0,286.0,284.0,466,285.0,221.0,282.0,345.0
32380.0,27299.0,27946.0,27908.0,28018.0,28399.0,27371,26735.0,26408.0,26440.0,26627.0,26226.0,26961.0,27066.0,27272.0,27644.0,25974,25689.0,25657.0,25644.0,25865.0,1073.0,985.0,842.0,746.0,755.0,1397,1046.0,751.0,796.0,762.0
32390.0,44386.0,44970.0,45004.0,45229.0,44975.0,44648,43988.0,43295.0,42078.0,41417.0,41138.0,42048.0,42108.0,42772.0,42627.0,41193,41750.0,41525.0,40287.0,39506.0,3248.0,2922.0,2896.0,2457.0,2348.0,3455,2238.0,1770.0,1791.0,1911.0
32420.0,65431.0,63770.0,62106.0,59971.0,59623.0,,64625.0,65373.0,65771.0,67126.0,56486.0,54387.0,52651.0,52694.0,53119.0,,58478.0,60452.0,60930.0,62249.0,8945.0,9383.0,9455.0,7277.0,6504.0,,6147.0,4921.0,4841.0,4877.0
32460.0,15129.0,15960.0,16257.0,16017.0,16438.0,16080,16320.0,16050.0,16102.0,16586.0,14196.0,15018.0,15347.0,15271.0,15755.0,15188,15651.0,15327.0,15437.0,15829.0,933.0,942.0,910.0,746.0,683.0,892,669.0,723.0,665.0,757.0
32540.0,17359.0,18555.0,18701.0,18853.0,18141.0,17586,17422.0,17372.0,17616.0,17350.0,16395.0,17513.0,17818.0,18189.0,17454.0,16295,16524.0,16660.0,16872.0,16575.0,964.0,1042.0,883.0,664.0,687.0,1291,898.0,712.0,744.0,775.0
32580.0,329576.0,338961.0,344376.0,349161.0,353698.0,364094,373571.0,378387.0,387606.0,396065.0,303293.0,312717.0,318779.0,326269.0,331793.0,322115,340146.0,353870.0,364129.0,372431.0,26283.0,26244.0,25597.0,22892.0,21905.0,41979,33425.0,24517.0,23477.0,23634.0
32620.0,19784.0,19921.0,19805.0,19756.0,19770.0,19658,19581.0,19310.0,18833.0,18804.0,18285.0,18506.0,18551.0,18553.0,18430.0,17966,18250.0,18410.0,18096.0,18039.0,1499.0,1415.0,1254.0,1203.0,1340.0,1692,1331.0,900.0,737.0,765.0
32660.0,17870.0,18274.0,17693.0,17262.0,17497.0,17728,17197.0,16946.0,17229.0,17174.0,16876.0,17433.0,17021.0,16607.0,16822.0,16208,16370.0,16270.0,16551.0,16513.0,994.0,841.0,672.0,655.0,675.0,1520,827.0,676.0,678.0,661.0
32700.0,17277.0,15685.0,15675.0,15898.0,16610.0,16532,16459.0,16739.0,17049.0,17366.0,16760.0,15154.0,15207.0,15466.0,16205.0,15936,16060.0,16379.0,16653.0,16866.0,517.0,531.0,468.0,432.0,405.0,596,399.0,360.0,396.0,500.0
32740.0,41399.0,40827.0,39712.0,39243.0,38949.0,38663,37772.0,37723.0,37931.0,37365.0,39196.0,38408.0,37513.0,37365.0,37152.0,35327,35450.0,36040.0,36472.0,35968.0,2203.0,2419.0,2199.0,1878.0,1797.0,3336,2322.0,1683.0,1459.0,1397.0
32780.0,97939.0,99231.0,100934.0,101809.0,101695.0,103656,105515.0,104787.0,105306.0,106142.0,91464.0,93527.0,96137.0,96995.0,97248.0,95448,99699.0,100066.0,100635.0,100959.0,6475.0,5704.0,4797.0,4814.0,4447.0,8208,5816.0,4721.0,4671.0,5183.0
32820.0,616703.0,626539.0,629875.0,637529.0,647024.0,642572,642672.0,634815.0,623914.0,625967.0,578376.0,594172.0,602807.0,611395.0,620753.0,586834,602694.0,608816.0,600093.0,600267.0,38327.0,32367.0,27068.0,26134.0,26271.0,55738,39978.0,25999.0,23821.0,25700.0
32860.0,23802.0,24628.0,24681.0,24644.0,24490.0,24102,24273.0,24493.0,24767.0,25129.0,22757.0,23663.0,23886.0,23905.0,23677.0,22764,23441.0,23772.0,24011.0,24327.0,1045.0,965.0,795.0,739.0,813.0,1338,832.0,721.0,756.0,802.0
